id,h_mean,v_mean,s_mean,h_std,v_std,s_std,contrast,dissimilarity,homogeneity,asm,correlation,entropy,intensity_mean,intensity_std
148,0.0,0.0,217.04428,-0.0,0.0,53.98816,1.6052903225806454,0.6384516129032258,0.7592452045173844,0.18971319042663892,0.9256589895398135,6.105183,217.04428,53.98816
1902,178.08849,12.074624,202.90862,28.877441,35.799446,65.29945,4.1091612903225805,1.0935483870967742,0.6653228304985546,0.14767256399583767,0.8787344138113203,6.392714,197.47098,67.74496
1882,26.722775,32.881344,232.74298,90.86333,42.790005,21.735283,0.2132258064516129,0.19438709677419355,0.9046605459057072,0.1644296253902185,0.9633627204699431,6.384494,222.38957,27.263474
1867,61.918194,113.87136,165.56378,75.4755,65.10318,56.59068,1.1748387096774193,0.4228387096774194,0.8448650741382365,0.16766100728407907,0.9477159954285048,5.880399,132.46465,55.108498
1165,167.01956,17.161089,181.3374,54.414146,28.638067,83.49908,0.42774193548387096,0.25148387096774194,0.8902599713594779,0.17663496566077003,0.9924875651439089,6.5678167,177.48811,85.97795
1394,126.32354,18.646656,213.58221,71.61346,17.888533,52.983913,2.548774193548387,0.7873548387096774,0.7433799800279598,0.1976894339229969,0.862837785827544,5.5911474,201.65927,49.441406
1633,0.0,0.0,163.25996,-0.0,0.0,113.24014,2.37541935483871,0.4106451612903226,0.9057427765956232,0.4066611092611864,0.9752765521644393,3.7385044,163.25996,113.24015
107,0.0,0.0,236.54527,-0.0,0.0,24.706337,0.5749032258064516,0.29258064516129034,0.8770327300336853,0.38602901977107174,0.8613247818623848,5.270056,236.54527,24.706337
648,38.75867,81.17792,178.69025,117.51853,48.978092,56.33893,0.31083870967741944,0.24038709677419356,0.8868425047438331,0.07790614151925081,0.9912292697517806,7.1684346,155.72865,67.12154
1564,0.07077805,37.460354,219.41107,39.050045,41.31175,39.657127,3.191741935483871,1.0752258064516131,0.6348276902163695,0.08272919458896986,0.7887074915953077,6.8186555,200.1727,44.851357
456,0.0,0.0,170.80447,-0.0,0.0,89.12807,4.1250322580645165,0.9403870967741936,0.7369872158748605,0.10790561290322583,0.9310643008960741,6.2503014,170.80447,89.12807
